SR_ref_no,SR_date,category hierarchy,assigned_account,machine_model,serial_number,component_serial_number,commission_date,complaint_category,make,Name,type_of_activity,defect_no,problem_reported,problem_summary,sub_assembly,failure_mode,cause,corrective_action,problem,product_category
SRV-2023-0001,2023-01-05,Mechanical/Critical,ACC-INDUS-001,LT-3500,SN-LT3500-78621,CSN-MT7842,2022-03-15,Performance,Industrial Lathes Inc.,Johnson Manufacturing,Emergency Repair,DEF-0112,Spindle rotation inconsistent and noisy,Spindle issues affecting machining precision,Main Spindle Assembly,Erratic Movement,Bearing failure due to inadequate lubrication,Replaced spindle bearings and implemented automatic lubrication system,Spindle Malfunction,CNC Lathe
SRV-2023-0002,2023-01-12,Electrical/Medium,ACC-META-002,LT-2200,SN-LT2200-32145,CSN-CT1278,2021-11-28,Electrical,MetalCraft Tools,Superior Tooling,Scheduled Maintenance,DEF-0081,Control panel showing intermittent errors,Error codes appearing during operation cycles,Control System,System Freeze,Loose wiring connections in control cabinet,Rewired control connections and secured terminal blocks,Control System Failure,Manual Lathe
SRV-2023-0003,2023-01-18,Software/Low,ACC-PREC-003,LT-4100,SN-LT4100-90532,CSN-SP4561,2022-09-05,Software,Precision Equipment Ltd,Apex Fabrication,Software Update,DEF-0157,Tool path calculation errors occurring,Inaccurate machining due to software errors,CNC Controller,Calculation Error,Outdated firmware causing parameter misreading,Updated firmware and recalibrated tool offsets,Software Bug,CNC Lathe
SRV-2023-0004,2023-01-25,Mechanical/Critical,ACC-GLOB-004,LT-3200,SN-LT3200-45237,CSN-HD8726,2022-05-11,Performance,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0098,Tailstock slipping during heavy cutting operations,Workpiece misalignment during machining processes,Tailstock Assembly,Component Slippage,Worn tailstock clamping mechanism,Replaced tailstock components and adjusted clamping pressure,Tailstock Failure,Heavy Duty Lathe
SRV-2023-0005,2023-02-03,Hydraulic/High,ACC-TECH-005,LT-5000,SN-LT5000-12587,CSN-HP3429,2022-08-21,Hydraulic,TechnoMachine Systems,Precision Parts Ltd,Emergency Repair,DEF-0124,Hydraulic chuck not maintaining constant pressure,Chuck pressure fluctuations causing workpiece shift,Hydraulic System,Pressure Loss,Hydraulic pump seal deterioration,Replaced pump seals and pressure relief valve,Hydraulic System Issue,CNC Lathe
SRV-2023-0006,2023-02-10,Mechanical/Medium,ACC-INDUS-001,LT-3500,SN-LT3500-78935,CSN-GB6541,2022-04-18,Mechanical,Industrial Lathes Inc.,Johnson Manufacturing,Scheduled Repair,DEF-0107,Gear noise increasing during speed changes,Gear train developing excessive backlash,Gearbox Assembly,Excessive Noise,Gear teeth wear from improper backlash adjustment,Replaced worn gears and adjusted backlash clearance,Gearbox Problem,CNC Lathe
SRV-2023-0007,2023-02-17,Electrical/Critical,ACC-META-002,LT-2800,SN-LT2800-56321,CSN-ED2178,2021-10-05,Electrical,MetalCraft Tools,Superior Tooling,Emergency Repair,DEF-0135,Drive system shutting down unexpectedly,Random shutdowns causing production delays,Drive System,Unexpected Shutdown,Overheating drive components due to cooling failure,Installed additional cooling fans and thermal sensors,Drive Failure,CNC Lathe
SRV-2023-0008,2023-02-24,Software/Medium,ACC-PREC-003,LT-4100,SN-LT4100-90875,CSN-FC1903,2022-07-12,Software,Precision Equipment Ltd,Apex Fabrication,Software Update,DEF-0146,User interface freezing during program changes,Interface becoming unresponsive during operations,User Interface,System Freeze,Memory leak in UI process,Updated UI software and increased system memory,Software Issue,CNC Lathe
SRV-2023-0009,2023-03-02,Mechanical/High,ACC-GLOB-004,LT-3200,SN-LT3200-45642,CSN-CS7824,2021-12-03,Mechanical,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0091,Chuck jaws not centering workpiece properly,Workpiece runout exceeding tolerance specifications,Chuck Assembly,Centering Error,Chuck scroll mechanism wear affecting jaw movement,Rebuilt chuck scroll mechanism and realigned jaws,Chuck Malfunction,Heavy Duty Lathe
SRV-2023-0010,2023-03-09,Cooling/Medium,ACC-TECH-005,LT-5000,SN-LT5000-12998,CSN-CF9078,2022-06-28,Cooling,TechnoMachine Systems,Precision Parts Ltd,Scheduled Repair,DEF-0119,Coolant not reaching cutting zone effectively,Insufficient cooling causing tool wear,Coolant System,Flow Restriction,Coolant nozzles clogged with metal chips,Cleaned coolant delivery system and replaced nozzles,Coolant System Failure,CNC Lathe
SRV-2023-0011,2023-03-16,Mechanical/Critical,ACC-INDUS-001,LT-3500,SN-LT3500-79214,CSN-BA5412,2022-11-15,Performance,Industrial Lathes Inc.,Johnson Manufacturing,Emergency Repair,DEF-0103,Ball screw binding during rapid movements,Axis movement becoming rough and inaccurate,Ball Screw Assembly,Movement Restriction,Ball screw contaminated with debris,Cleaned and relubricated ball screw assembly,Ball Screw Problem,CNC Lathe
SRV-2023-0012,2023-03-23,Electrical/Medium,ACC-META-002,LT-2800,SN-LT2800-56789,CSN-SE3265,2022-01-20,Electrical,MetalCraft Tools,Superior Tooling,Scheduled Repair,DEF-0131,Servo motor overheating during continuous operation,Axis drives showing temperature warnings,Servo System,Overheating,Insufficient motor ventilation due to clogged filter,Cleaned ventilation system and replaced air filters,Servo Motor Issue,CNC Lathe
SRV-2023-0013,2023-03-30,Software/Low,ACC-PREC-003,LT-4100,SN-LT4100-91267,CSN-MM4536,2022-08-14,Software,Precision Equipment Ltd,Apex Fabrication,Software Update,DEF-0152,Manual data input commands not executing,MDI functionality partially failing,Control System,Command Error,Parameter conflict in control software,Updated parameter settings and realigned input system,Software Bug,CNC Lathe
SRV-2023-0014,2023-04-07,Hydraulic/High,ACC-GLOB-004,LT-3850,SN-LT3850-23478,CSN-HP7641,2021-09-17,Hydraulic,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0127,Hydraulic pressure dropping during operation cycle,Progressive loss of clamping force,Hydraulic System,Pressure Loss,Hydraulic valve leakage causing system pressure drop,Replaced faulty valve and reset pressure regulator,Hydraulic System Issue,Heavy Duty Lathe
SRV-2023-0015,2023-04-14,Mechanical/Medium,ACC-TECH-005,LT-5000,SN-LT5000-13245,CSN-LS8795,2022-05-03,Mechanical,TechnoMachine Systems,Precision Parts Ltd,Scheduled Repair,DEF-0087,Lead screw backlash affecting threading accuracy,Threading operations producing inconsistent results,Lead Screw Assembly,Excessive Backlash,Wear in lead screw nut threads,Replaced lead screw nut and adjusted backlash,Lead Screw Problem,CNC Lathe
SRV-2023-0016,2023-04-21,Electrical/Critical,ACC-INDUS-001,LT-3500,SN-LT3500-79568,CSN-PW6123,2022-02-09,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Emergency Repair,DEF-0138,Power supply fluctuations causing resets,Random system restarts interrupting operations,Power System,Voltage Instability,Faulty capacitors in power supply unit,Replaced power supply unit and added stabilizer,Power Supply Failure,CNC Lathe
SRV-2023-0017,2023-04-28,Safety/High,ACC-META-002,LT-2800,SN-LT2800-57123,CSN-SD4258,2021-12-11,Safety,MetalCraft Tools,Superior Tooling,Emergency Repair,DEF-0163,Safety door interlock bypassing automatically,Machine operating with guard door open,Safety System,Interlock Failure,Damaged door sensor wiring causing false signals,Rewired safety circuit and replaced door sensors,Safety System Failure,CNC Lathe
SRV-2023-0018,2023-05-05,Mechanical/Medium,ACC-PREC-003,LT-4100,SN-LT4100-91589,CSN-WS5687,2022-10-22,Mechanical,Precision Equipment Ltd,Apex Fabrication,Scheduled Repair,DEF-0095,Way surfaces showing premature wear patterns,Slideway movement becoming rough and inconsistent,Way System,Surface Wear,Insufficient lubrication reaching way surfaces,Repaired lubrication system and resurfaced ways,Way Surface Problem,CNC Lathe
SRV-2023-0019,2023-05-12,Cooling/High,ACC-GLOB-004,LT-3850,SN-LT3850-23891,CSN-CH8976,2022-03-28,Cooling,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0121,Coolant overheating during extended operations,Excessive coolant temperature affecting part quality,Cooling System,Temperature Elevation,Clogged radiator restricting coolant flow,Cleaned cooling system and replaced coolant,Cooling System Issue,Heavy Duty Lathe
SRV-2023-0020,2023-05-19,Mechanical/Critical,ACC-TECH-005,LT-5000,SN-LT5000-13578,CSN-TS7432,2022-07-05,Performance,TechnoMachine Systems,Precision Parts Ltd,Emergency Repair,DEF-0101,Tool turret not indexing to correct position,Tool position errors causing dimensional issues,Turret Assembly,Indexing Error,Worn turret index mechanism and sensor,Rebuilt turret indexing system and calibrated sensors,Turret Malfunction,CNC Lathe
SRV-2023-0021,2023-05-26,Electrical/Medium,ACC-INDUS-001,LT-3500,SN-LT3500-79824,CSN-EC3254,2021-11-30,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Scheduled Repair,DEF-0133,Encoder giving inconsistent position feedback,Position reading errors affecting accuracy,Feedback System,Signal Inconsistency,Encoder disc contamination causing misreads,Cleaned encoder assembly and realigned sensors,Encoder Failure,CNC Lathe
SRV-2023-0022,2023-06-02,Software/Low,ACC-META-002,LT-2800,SN-LT2800-57456,CSN-PC5897,2022-04-15,Software,MetalCraft Tools,Superior Tooling,Software Update,DEF-0148,Part program loading extremely slow,Program transfer delays causing downtime,Memory System,Data Transfer Speed,Fragmented system memory affecting access speed,Defragmented memory and optimized program storage,Software Issue,CNC Lathe
SRV-2023-0023,2023-06-09,Mechanical/High,ACC-PREC-003,LT-4100,SN-LT4100-91845,CSN-TB6329,2022-01-18,Mechanical,Precision Equipment Ltd,Apex Fabrication,Emergency Repair,DEF-0089,Tailstock barrel binding during extension,Tailstock operations becoming difficult and inaccurate,Tailstock Assembly,Movement Restriction,Contamination in tailstock barrel guide,Disassembled tailstock and restored proper clearances,Tailstock Failure,CNC Lathe
SRV-2023-0024,2023-06-16,Hydraulic/Critical,ACC-GLOB-004,LT-3850,SN-LT3850-24213,CSN-HP9087,2022-09-13,Hydraulic,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0125,Hydraulic system leaking fluid internally,Gradual loss of system efficiency,Hydraulic System,Internal Leakage,Worn cylinder seals causing bypass flow,Replaced hydraulic cylinders and system seals,Hydraulic System Issue,Heavy Duty Lathe
SRV-2023-0025,2023-06-23,Mechanical/Medium,ACC-TECH-005,LT-5000,SN-LT5000-13896,CSN-SB4521,2022-02-25,Mechanical,TechnoMachine Systems,Precision Parts Ltd,Scheduled Repair,DEF-0105,Spindle bearing noise increasing over time,Progressive deterioration of bearing condition,Spindle Assembly,Excessive Noise,Bearing preload set incorrectly,Adjusted bearing preload and replaced damaged bearings,Spindle Malfunction,CNC Lathe
SRV-2023-0026,2023-06-30,Electrical/High,ACC-INDUS-001,LT-3500,SN-LT3500-80157,CSN-MC7654,2022-05-20,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Emergency Repair,DEF-0137,Motor contactor failing to engage consistently,Intermittent power delivery to drive system,Motor Control,Contact Failure,Contactor coil deterioration causing weak pull,Replaced motor contactor and power connections,Motor Control Failure,CNC Lathe
SRV-2023-0027,2023-07-07,Software/Medium,ACC-META-002,LT-2800,SN-LT2800-57789,CSN-PG2345,2021-10-12,Software,MetalCraft Tools,Superior Tooling,Software Update,DEF-0151,Parameter changes not saving after power cycle,Machine reverting to previous settings,Memory System,Data Retention,Backup battery failure in parameter memory,Replaced backup battery and restored parameters,Software Issue,CNC Lathe
SRV-2023-0028,2023-07-14,Mechanical/Critical,ACC-PREC-003,LT-4100,SN-LT4100-92178,CSN-CA8976,2022-12-03,Performance,Precision Equipment Ltd,Apex Fabrication,Emergency Repair,DEF-0093,Chuck actuator not maintaining clamping force,Workpiece movement during heavy cutting operations,Chuck Assembly,Force Degradation,Air trapped in hydraulic chuck actuator,Bled air from system and adjusted clamping pressure,Chuck Malfunction,CNC Lathe
SRV-2023-0029,2023-07-21,Cooling/High,ACC-GLOB-004,LT-3850,SN-LT3850-24567,CSN-CP5672,2022-06-18,Cooling,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0123,Coolant pump making unusual noise,Pump starting to fail causing flow issues,Coolant System,Pump Noise,Pump impeller damage from metal particles,Replaced coolant pump and installed filter,Coolant System Failure,Heavy Duty Lathe
SRV-2023-0030,2023-07-28,Mechanical/Medium,ACC-TECH-005,LT-5000,SN-LT5000-14231,CSN-FS3218,2022-11-09,Mechanical,TechnoMachine Systems,Precision Parts Ltd,Scheduled Repair,DEF-0097,Feed system jerking during fine cutting passes,Inconsistent surface finish on workpieces,Feed System,Irregular Movement,Worn feed clutch causing slip-stick motion,Rebuilt feed clutch assembly and adjusted tension,Feed System Problem,CNC Lathe
SRV-2023-0031,2023-08-04,Electrical/Critical,ACC-INDUS-001,LT-3500,SN-LT3500-80481,CSN-DP9876,2022-04-11,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Emergency Repair,DEF-0139,Drive parameters resetting spontaneously,Machine losing calibration settings regularly,Drive System,Parameter Loss,EMI interference affecting drive controller,Installed EMI shielding and rerouted power cables,Drive Failure,CNC Lathe
SRV-2023-0032,2023-08-11,Software/Low,ACC-META-002,LT-2800,SN-LT2800-58123,CSN-UI4532,2022-01-05,Software,MetalCraft Tools,Superior Tooling,Software Update,DEF-0154,User interface displaying incorrect tool data,Tool offset display not matching actual values,User Interface,Display Error,Display routine misinterpreting internal data format,Updated interface software and recalibrated display,Software Bug,CNC Lathe
SRV-2023-0033,2023-08-18,Mechanical/High,ACC-PREC-003,LT-4100,SN-LT4100-92456,CSN-CB7689,2021-12-22,Mechanical,Precision Equipment Ltd,Apex Fabrication,Emergency Repair,DEF-0085,Cross slide gibs loosening during operation,Increasing play in slide causing accuracy loss,Cross Slide Assembly,Component Loosening,Incorrect torque on gib adjustment screws,Realigned cross slide and properly torqued screws,Cross Slide Problem,CNC Lathe
SRV-2023-0034,2023-08-25,Hydraulic/High,ACC-GLOB-004,LT-3850,SN-LT3850-24891,CSN-HF7123,2022-08-07,Hydraulic,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0128,Hydraulic filter clogging prematurely,Frequent pressure drops in hydraulic system,Hydraulic System,Filter Restriction,Metal contamination in hydraulic fluid,Replaced hydraulic fluid and added magnetic filter,Hydraulic System Issue,Heavy Duty Lathe
SRV-2023-0035,2023-09-01,Mechanical/Medium,ACC-TECH-005,LT-5000,SN-LT5000-14578,CSN-BA6754,2022-03-18,Mechanical,TechnoMachine Systems,Precision Parts Ltd,Scheduled Repair,DEF-0104,Ball screw end bearings showing excessive play,Axial movement at end of travel,Ball Screw Assembly,Bearing Play,Bearing preload loss due to mounting shift,Reset bearing preload and secured mounting bolts,Ball Screw Problem,CNC Lathe
SRV-2023-0036,2023-09-08,Electrical/Critical,ACC-INDUS-001,LT-3500,SN-LT3500-80795,CSN-EC5678,2022-07-25,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Emergency Repair,DEF-0134,Encoder signal dropping out intermittently,Position loss during critical operations,Feedback System,Signal Loss,Loose connector in encoder feedback circuit,Resoldered encoder connections and secured wiring,Encoder Failure,CNC Lathe
SRV-2023-0037,2023-09-15,Software/Medium,ACC-META-002,LT-2800,SN-LT2800-58456,CSN-TC3219,2021-11-16,Software,MetalCraft Tools,Superior Tooling,Software Update,DEF-0147,Tool compensation calculations producing errors,Inconsistent dimensional results across operations,Control System,Calculation Error,Software bug in tool radius compensation,Updated control software and recalibrated offsets,Software Bug,CNC Lathe
SRV-2023-0038,2023-09-22,Mechanical/High,ACC-PREC-003,LT-4100,SN-LT4100-92789,CSN-CS5467,2022-10-30,Mechanical,Precision Equipment Ltd,Apex Fabrication,Emergency Repair,DEF-0092,Chuck jaw serrations showing excessive wear,Workpiece slippage during turning operations,Chuck Assembly,Surface Wear,Inappropriate jaw hardness for workpiece material,Replaced chuck jaws with hardened version,Chuck Malfunction,CNC Lathe
SRV-2023-0039,2023-09-29,Cooling/Critical,ACC-GLOB-004,LT-3850,SN-LT3850-25234,CSN-CF2341,2022-05-13,Cooling,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0120,Coolant foam overflowing from reservoir,Excessive foaming contaminating work area,Coolant System,Excessive Foaming,Incorrect coolant mixture ratio causing foam,Drained system and remixed coolant properly,Coolant System Failure,Heavy Duty Lathe
SRV-2023-0040,2023-10-06,Mechanical/Critical,ACC-TECH-005,LT-5000,SN-LT5000-14902,CSN-SB9012,2022-02-14,Performance,TechnoMachine Systems,Precision Parts Ltd,Emergency Repair,DEF-0102,Spindle bearing failing catastrophically,Immediate loss of spindle function,Spindle Assembly,Component Failure,Insufficient clearance causing overheating,Rebuilt spindle with correct bearing specification,Spindle Malfunction,CNC Lathe
SRV-2023-0041,2023-10-13,Electrical/Medium,ACC-INDUS-001,LT-3500,SN-LT3500-81123,CSN-VS4327,2021-09-08,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Scheduled Repair,DEF-0140,Variable speed drive overheating regularly,Speed control becoming erratic during use,Drive System,Overheating,Cooling fan failure in drive enclosure,Replaced cooling fans and cleaned heat sinks,Drive Failure,CNC Lathe
SRV-2023-0042,2023-10-20,Safety/High,ACC-META-002,LT-2800,SN-LT2800-58789,CSN-SE7865,2022-06-02,Safety,MetalCraft Tools,Superior Tooling,Emergency Repair,DEF-0162,Safety relay not engaging properly,Machine not starting due to safety circuit,Safety System,Relay Failure,Safety relay contacts corroded from humidity,Replaced safety relay and sealed enclosure,Safety System Failure,CNC Lathe
SRV-2023-0043,2023-10-27,Mechanical/Medium,ACC-PREC-003,LT-4100,SN-LT4100-93124,CSN-WS6789,2022-04-27,Mechanical,Precision Equipment Ltd,Apex Fabrication,Scheduled Repair,DEF-0096,Way lubrication not distributing evenly,Uneven wear patterns developing on ways,Way System,Lubrication Failure,Blocked lubrication lines restricting oil flow,Cleaned lubrication system and adjusted flow rates,Way Surface Problem,CNC Lathe
SRV-2023-0044,2023-11-03,Hydraulic/High,ACC-GLOB-004,LT-3850,SN-LT3850-25578,CSN-HP1278,2022-12-19,Hydraulic,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0126,Hydraulic pressure relief valve sticking,Pressure spikes damaging system components,Hydraulic System,Valve Malfunction,Contamination causing valve spool binding,Rebuilt relief valve and flushed hydraulic system,Hydraulic System Issue,Heavy Duty Lathe
SRV-2023-0045,2023-11-10,Mechanical/Critical,ACC-TECH-005,LT-5000,SN-LT5000-15237,CSN-TS3456,2022-09-23,Performance,TechnoMachine Systems,Precision Parts Ltd,Emergency Repair,DEF-0100,Tool turret alignment drifting over time,Gradual loss of machining accuracy,Turret Assembly,Alignment Drift,Loose mounting bolts allowing position shift,Realigned turret and secured with locking compound,Turret Malfunction,CNC Lathe
SRV-2023-0046,2023-11-17,Electrical/Medium,ACC-INDUS-001,LT-3500,SN-LT3500-81456,CSN-SP7890,2022-01-30,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Scheduled Repair,DEF-0132,Servo amplifier output fluctuating,Axis movement becoming jerky and unpredictable,Servo System,Output Instability,Failing capacitors in amplifier circuit,Replaced servo amplifier and recalibrated system,Servo Motor Issue,CNC Lathe
SRV-2023-0047,2023-11-24,Software/Low,ACC-META-002,LT-2800,SN-LT2800-59123,CSN-IO5432,2022-08-11,Software,MetalCraft Tools,Superior Tooling,Software Update,DEF-0153,I/O communication errors with peripherals,Random communication failures with attachments,Control System,Communication Error,Bus termination causing signal reflections,Added proper bus termination and updated drivers,Software Issue,CNC Lathe
SRV-2023-0048,2023-12-01,Mechanical/High,ACC-PREC-003,LT-4100,SN-LT4100-93457,CSN-CS8901,2021-10-09,Mechanical,Precision Equipment Ltd,Apex Fabrication,Emergency Repair,DEF-0094,Compound slide swivel base slipping,Angular positioning errors during operations,Compound Slide Assembly,Position Slippage,Insufficient clamping force on swivel base,Modified clamping mechanism for greater force,Compound Slide Problem,CNC Lathe
SRV-2023-0049,2023-12-08,Cooling/High,ACC-GLOB-004,LT-3850,SN-LT3850-25901,CSN-CF6745,2022-07-17,Cooling,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0122,Coolant contamination with tramp oil,Coolant effectiveness significantly reduced,Coolant System,Fluid Contamination,Hydraulic leak contaminating coolant system,Repaired hydraulic leak and replaced coolant,Coolant System Failure,Heavy Duty Lathe
